batter,venue,dismissals,strike_rate
T Kohler-Cadmore,"Narendra Modi Stadium, Ahmedabad",1,133.33
T Stubbs,"Arun Jaitley Stadium, Delhi",2,206.82
T Stubbs,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,166.67
T Stubbs,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,158.82
T Stubbs,"Eden Gardens, Kolkata",1,57.14
T Stubbs,"M Chinnaswamy Stadium, Bengaluru",0,75
T Stubbs,"MA Chidambaram Stadium, Chepauk, Chennai",1,95.24
T Stubbs,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,62.5
T Stubbs,"Sawai Mansingh Stadium, Jaipur",0,191.3
T Stubbs,"Wankhede Stadium, Mumbai",1,205.88
TA Boult,"Arun Jaitley Stadium, Delhi",0,66.67
TA Boult,"Barsapara Cricket Stadium, Guwahati",1,133.33
TA Boult,"Eden Gardens, Kolkata",0,0
TA Boult,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,50
TA Boult,"MA Chidambaram Stadium, Chepauk, Chennai",0,0
TA Boult,"Narendra Modi Stadium, Ahmedabad",0,0
TA Boult,"Sawai Mansingh Stadium, Jaipur",1,136.36
TH David,"Arun Jaitley Stadium, Delhi",1,178.57
TH David,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,183.33
TH David,"Eden Gardens, Kolkata",1,0
TH David,"M Chinnaswamy Stadium, Bengaluru",1,57.14
TH David,"MA Chidambaram Stadium, Chepauk, Chennai",2,88.24
TH David,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,200
TH David,"Narendra Modi Stadium, Ahmedabad",3,86.67
TH David,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,190
TH David,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,175.76
TH David,"Sawai Mansingh Stadium, Jaipur",1,60
TH David,"Wankhede Stadium, Mumbai",6,165.19
TM Head,"Arun Jaitley Stadium, Delhi",1,278.12
TM Head,"M Chinnaswamy Stadium, Bengaluru",1,248.78
TM Head,"MA Chidambaram Stadium, Chepauk, Chennai",3,130.56
TM Head,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,140
TM Head,"Narendra Modi Stadium, Ahmedabad",2,118.75
TM Head,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5,191.27
TM Head,"Wankhede Stadium, Mumbai",1,157.14
TU Deshpande,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,0
TU Deshpande,"MA Chidambaram Stadium, Chepauk, Chennai",0,0
Tanush Kotian,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,77.42
Tilak Varma,"Arun Jaitley Stadium, Delhi",2,170.49
Tilak Varma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,63.64
Tilak Varma,"Eden Gardens, Kolkata",1,188.24
Tilak Varma,"M Chinnaswamy Stadium, Bengaluru",0,184.44
Tilak Varma,"MA Chidambaram Stadium, Chepauk, Chennai",1,118.18
Tilak Varma,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0,188.89
Tilak Varma,"Narendra Modi Stadium, Ahmedabad",3,194.44
Tilak Varma,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,260
Tilak Varma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,200
Tilak Varma,"Sawai Mansingh Stadium, Jaipur",1,144.44
Tilak Varma,"Wankhede Stadium, Mumbai",7,123.53
UT Yadav,"Arun Jaitley Stadium, Delhi",1,60
UT Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,50
UT Yadav,"Eden Gardens, Kolkata",1,157.14
UT Yadav,"MA Chidambaram Stadium, Chepauk, Chennai",0,90.91
UT Yadav,"Narendra Modi Stadium, Ahmedabad",0,83.33
Umran Malik,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,185.71
V Kohli,"Arun Jaitley Stadium, Delhi",1,119.57
V Kohli,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,103.33
V Kohli,"Eden Gardens, Kolkata",2,156
V Kohli,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,195.74
V Kohli,"M Chinnaswamy Stadium, Bengaluru",12,156.66
V Kohli,"MA Chidambaram Stadium, Chepauk, Chennai",1,105
V Kohli,"Narendra Modi Stadium, Ahmedabad",1,151.47
V Kohli,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,125.53
V Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,142.45
V Kohli,"Sawai Mansingh Stadium, Jaipur",1,143.96
V Kohli,"Wankhede Stadium, Mumbai",2,30.77
V Shankar,"Arun Jaitley Stadium, Delhi",1,126.09
V Shankar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,93.1
V Shankar,"Eden Gardens, Kolkata",0,212.5
V Shankar,"M Chinnaswamy Stadium, Bengaluru",2,150
V Shankar,"MA Chidambaram Stadium, Chepauk, Chennai",2,118.18
V Shankar,"Narendra Modi Stadium, Ahmedabad",4,146.32
V Shankar,"Sawai Mansingh Stadium, Jaipur",1,160
V Shankar,"Wankhede Stadium, Mumbai",1,207.14
V Viyaskanth,"Narendra Modi Stadium, Ahmedabad",0,140
VG Arora,"Eden Gardens, Kolkata",0,100
VG Arora,"MA Chidambaram Stadium, Chepauk, Chennai",0,100
VG Arora,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,200
VR Iyer,"Arun Jaitley Stadium, Delhi",1,0
VR Iyer,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,100
VR Iyer,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,250
VR Iyer,"Eden Gardens, Kolkata",12,131.73
VR Iyer,"M Chinnaswamy Stadium, Bengaluru",2,144.64
VR Iyer,"MA Chidambaram Stadium, Chepauk, Chennai",2,168.42
VR Iyer,"Narendra Modi Stadium, Ahmedabad",1,197.06
VR Iyer,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,103.7
VR Iyer,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,175
VR Iyer,"Wankhede Stadium, Mumbai",3,168.93
Vijaykumar Vyshak,"M Chinnaswamy Stadium, Bengaluru",1,127.27
Vijaykumar Vyshak,"Wankhede Stadium, Mumbai",1,0
Vishnu Vinod,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,33.33
Vishnu Vinod,"Narendra Modi Stadium, Ahmedabad",1,71.43
Vishnu Vinod,"Wankhede Stadium, Mumbai",1,150
Vivrant Sharma,"Wankhede Stadium, Mumbai",1,146.81
WD Parnell,"M Chinnaswamy Stadium, Bengaluru",1,40
WG Jacks,"Eden Gardens, Kolkata",1,171.88
WG Jacks,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,171.43
WG Jacks,"M Chinnaswamy Stadium, Bengaluru",2,136.11
WG Jacks,"Narendra Modi Stadium, Ahmedabad",0,235
WG Jacks,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,66.67
WG Jacks,"Wankhede Stadium, Mumbai",1,133.33
WP Saha,"Arun Jaitley Stadium, Delhi",2,165.62
WP Saha,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,127.03
WP Saha,"Eden Gardens, Kolkata",1,100
WP Saha,"M Chinnaswamy Stadium, Bengaluru",2,61.9
WP Saha,"MA Chidambaram Stadium, Chepauk, Chennai",2,117.86
WP Saha,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,118.18
WP Saha,"Narendra Modi Stadium, Ahmedabad",13,130.05
WP Saha,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,157.89
WP Saha,"Sawai Mansingh Stadium, Jaipur",0,120.59
WP Saha,"Wankhede Stadium, Mumbai",1,40
Washington Sundar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,57.14
Washington Sundar,"MA Chidambaram Stadium, Chepauk, Chennai",0,150
Washington Sundar,"Narendra Modi Stadium, Ahmedabad",1,0
Washington Sundar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,134.62
YBK Jaiswal,"Arun Jaitley Stadium, Delhi",1,200
YBK Jaiswal,"Barsapara Cricket Stadium, Guwahati",3,174.42
YBK Jaiswal,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,133.33
YBK Jaiswal,"Eden Gardens, Kolkata",1,208.93
YBK Jaiswal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,138.89
YBK Jaiswal,"M Chinnaswamy Stadium, Bengaluru",1,127.03
YBK Jaiswal,"MA Chidambaram Stadium, Chepauk, Chennai",3,152
YBK Jaiswal,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,139.29
YBK Jaiswal,"Narendra Modi Stadium, Ahmedabad",2,124.32
YBK Jaiswal,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,157.89
YBK Jaiswal,"Sawai Mansingh Stadium, Jaipur",8,156.46
YBK Jaiswal,"Wankhede Stadium, Mumbai",2,191.04
YV Dhull,"Arun Jaitley Stadium, Delhi",2,78.95
YV Dhull,"M Chinnaswamy Stadium, Bengaluru",1,25
Yudhvir Singh,"Arun Jaitley Stadium, Delhi",1,200
Yudhvir Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,87.5
Yudhvir Singh,"Sawai Mansingh Stadium, Jaipur",1,100
