batter,bowler,total_runs,dismissals,strike_rate
A Badoni,AD Russell,12,0,200
A Badoni,AR Patel,8,0,114.29
A Badoni,Arshdeep Singh,2,0,100
A Badoni,Avesh Khan,2,0,100
A Badoni,B Kumar,3,0,100
A Badoni,CV Varun,14,0,175
A Badoni,DG Nalkande,2,0,200
A Badoni,G Coetzee,5,0,100
A Badoni,HH Pandya,1,1,100
A Badoni,Harpreet Brar,2,0,66.67
A Badoni,Harshit Rana,7,0,100
A Badoni,I Sharma,10,0,111.11
A Badoni,JD Unadkat,2,0,50
A Badoni,KK Ahmed,7,0,350
A Badoni,Kuldeep Yadav,8,0,100
A Badoni,MA Starc,0,0,0
A Badoni,MM Sharma,10,0,250
A Badoni,Mukesh Kumar,26,0,173.33
A Badoni,N Burger,0,1,0
A Badoni,N Thushara,4,0,133.33
A Badoni,PJ Cummins,8,0,200
A Badoni,PP Chawla,1,0,100
A Badoni,R Ashwin,9,0,180
A Badoni,R Shepherd,17,0,283.33
A Badoni,RJW Topley,0,0,0
A Badoni,Rashid Khan,3,1,75
A Badoni,SH Johnson,5,0,250
A Badoni,SM Curran,4,1,80
A Badoni,SP Narine,11,2,68.75
A Badoni,Sandeep Sharma,4,0,100
A Badoni,T Natarajan,37,0,217.65
A Badoni,T Stubbs,2,1,66.67
A Badoni,TA Boult,4,0,66.67
A Badoni,V Viyaskanth,5,0,250
A Badoni,Yash Dayal,0,1,0
A Kamboj,Harshit Rana,2,0,100
A Manohar,KK Ahmed,0,0,0
A Manohar,KR Sen,1,1,50
A Manohar,Kuldeep Yadav,2,0,100
A Manohar,Mukesh Kumar,2,0,66.67
A Manohar,T Stubbs,4,1,133.33
A Nortje,AD Russell,0,1,0
A Nortje,SP Narine,1,0,50
A Nortje,T Natarajan,0,1,0
A Nortje,VG Arora,3,0,150
A Raghuvanshi,A Nortje,16,1,228.57
A Raghuvanshi,AR Patel,5,0,166.67
A Raghuvanshi,Avesh Khan,1,0,100
A Raghuvanshi,JJ Bumrah,1,0,50
A Raghuvanshi,KH Pandya,5,0,83.33
A Raghuvanshi,KR Sen,1,1,33.33
A Raghuvanshi,M Theekshana,7,0,233.33
A Raghuvanshi,MP Stoinis,1,0,100
A Raghuvanshi,MR Marsh,4,0,100
A Raghuvanshi,Mohammed Siraj,0,0,0
A Raghuvanshi,Mohsin Khan,6,1,150
A Raghuvanshi,Mustafizur Rahman,10,0,125
A Raghuvanshi,N Thushara,12,1,300
A Raghuvanshi,Naveen-ul-Haq,5,0,166.67
A Raghuvanshi,R Ashwin,3,0,100
A Raghuvanshi,RA Jadeja,0,1,0
A Raghuvanshi,Rasikh Salam,13,0,260
A Raghuvanshi,Ravi Bishnoi,14,0,127.27
A Raghuvanshi,SN Thakur,6,0,150
A Raghuvanshi,Sumit Kumar,16,0,200
A Raghuvanshi,TA Boult,13,0,325
A Raghuvanshi,TU Deshpande,1,0,50
A Raghuvanshi,YS Chahal,12,0,171.43
A Raghuvanshi,Yash Dayal,3,1,150
A Raghuvanshi,Yash Thakur,8,0,133.33
A Raghuvanshi,Yudhvir Singh,0,1,0
AA Kulkarni,MA Starc,4,1,100
AA Kulkarni,N Thushara,0,1,0
AA Kulkarni,VG Arora,5,0,166.67
AD Russell,A Nortje,4,0,200
AD Russell,Arshdeep Singh,10,1,333.33
AD Russell,Avesh Khan,0,1,0
AD Russell,B Kumar,30,0,375
AD Russell,C Green,5,0,166.67
AD Russell,HH Pandya,7,0,350
AD Russell,Harpreet Brar,7,0,175
AD Russell,I Sharma,0,1,0
AD Russell,JJ Bumrah,1,0,100
AD Russell,KH Pandya,7,0,175
AD Russell,KK Ahmed,10,0,125
AD Russell,KR Sen,9,0,225
AD Russell,KV Sharma,1,0,50
AD Russell,LH Ferguson,5,0,100
AD Russell,M Markande,18,0,257.14
AD Russell,MR Marsh,16,0,320
AD Russell,Mohammed Siraj,1,0,100
AD Russell,Mustafizur Rahman,1,0,20
AD Russell,N Thushara,7,0,233.33
AD Russell,Naveen-ul-Haq,4,1,200
AD Russell,PJ Cummins,2,0,50
AD Russell,PP Chawla,16,1,160
AD Russell,R Ashwin,3,0,75
AD Russell,RD Chahar,1,0,50
AD Russell,Rasikh Salam,11,0,366.67
AD Russell,Ravi Bishnoi,1,0,50
AD Russell,SM Curran,6,0,200
AD Russell,T Natarajan,10,0,200
AD Russell,TU Deshpande,5,1,125
AD Russell,YS Chahal,1,0,100
AD Russell,Yash Dayal,15,0,187.5
AJ Turner,AD Russell,1,0,50
AJ Turner,CV Varun,13,1,325
AJ Turner,G Coetzee,0,1,0
AJ Turner,JJ Bumrah,1,0,33.33
AJ Turner,Mohammad Nabi,1,0,100
AJ Turner,N Thushara,3,0,75
AJ Turner,SP Narine,2,0,66.67
AK Markram,AD Russell,5,1,166.67
AK Markram,Arshdeep Singh,0,1,0
AK Markram,CV Varun,1,1,33.33
AK Markram,DL Chahar,12,0,133.33
AK Markram,G Coetzee,8,0,160
AK Markram,HH Pandya,13,0,185.71
AK Markram,Harshit Rana,2,0,66.67
AK Markram,JJ Bumrah,7,0,87.5
AK Markram,KT Maphaka,5,0,250
AK Markram,Kuldeep Yadav,1,1,33.33
AK Markram,LH Ferguson,8,0,266.67
AK Markram,M Pathirana,1,1,50
AK Markram,M Theekshana,21,0,140
AK Markram,MA Starc,5,0,100
AK Markram,MK Lomror,1,0,100
AK Markram,MM Ali,7,1,116.67
AK Markram,MM Sharma,7,0,116.67
AK Markram,Mohammed Siraj,1,0,33.33
AK Markram,Mustafizur Rahman,8,0,133.33
AK Markram,Noor Ahmad,8,0,88.89
AK Markram,PP Chawla,4,0,200
AK Markram,RA Jadeja,20,0,125
AK Markram,RJW Topley,3,0,100
AK Markram,Rashid Khan,2,0,66.67
AK Markram,SN Thakur,6,0,200
AK Markram,SP Narine,9,0,69.23
AK Markram,SZ Mulani,5,0,125
AK Markram,Suyash Sharma,6,0,200
AK Markram,Swapnil Singh,4,1,200
AK Markram,TA Boult,1,1,50
AK Markram,TU Deshpande,7,0,175
AK Markram,UT Yadav,0,1,0
AK Markram,VG Arora,10,0,166.67
AK Markram,Vijaykumar Vyshak,16,0,320
AK Markram,WG Jacks,1,0,100
AK Markram,Yash Dayal,5,0,83.33
AM Rahane,A Nortje,7,0,116.67
AM Rahane,AR Patel,4,0,80
AM Rahane,AS Joseph,1,0,50
AM Rahane,Arshdeep Singh,11,1,157.14
AM Rahane,B Kumar,14,1,100
AM Rahane,C Green,6,1,300
AM Rahane,G Coetzee,0,1,0
AM Rahane,GJ Maxwell,2,0,66.67
AM Rahane,Harpreet Brar,2,1,40
AM Rahane,I Sharma,10,0,142.86
AM Rahane,JD Unadkat,13,1,108.33
AM Rahane,K Rabada,10,0,111.11
AM Rahane,KH Pandya,4,1,100
AM Rahane,KK Ahmed,1,0,50
AM Rahane,KV Sharma,10,0,125
AM Rahane,LH Ferguson,0,1,0
AM Rahane,M Markande,4,0,100
AM Rahane,MJ Henry,13,1,108.33
AM Rahane,MR Marsh,11,0,275
AM Rahane,Mayank Dagar,3,0,75
AM Rahane,Mohammad Nabi,5,0,100
AM Rahane,Mohammed Siraj,4,0,133.33
AM Rahane,Mohsin Khan,6,0,120
AM Rahane,Mukesh Kumar,0,1,0
AM Rahane,Nithish Kumar Reddy,1,0,33.33
AM Rahane,PJ Cummins,11,0,137.5
AM Rahane,R Sai Kishore,7,1,100
AM Rahane,RD Chahar,2,0,66.67
AM Rahane,Rashid Khan,4,0,100
AM Rahane,Rasikh Salam,12,0,300
AM Rahane,Ravi Bishnoi,6,0,150
AM Rahane,S Sandeep Warrier,0,1,0
AM Rahane,SH Johnson,1,0,100
AM Rahane,SM Curran,13,0,185.71
AM Rahane,Swapnil Singh,5,0,100
AM Rahane,T Natarajan,1,0,100
AM Rahane,UT Yadav,1,1,25
AM Rahane,Yash Dayal,29,0,223.08
AM Rahane,Yash Thakur,8,0,400
AR Patel,Akash Madhwal,1,0,50
AR Patel,Arshdeep Singh,6,0,150
AR Patel,Avesh Khan,8,0,100
AR Patel,Azmatullah Omarzai,6,0,75
AR Patel,B Kumar,2,0,66.67
AR Patel,C Green,10,1,100
AR Patel,CV Varun,4,1,40
AR Patel,HV Patel,1,1,100
AR Patel,Harpreet Brar,5,0,166.67
AR Patel,Harshit Rana,0,0,0
AR Patel,JJ Bumrah,9,0,128.57
AR Patel,K Rabada,8,0,200
AR Patel,KV Sharma,15,0,250
AR Patel,LH Ferguson,8,0,114.29
AR Patel,M Pathirana,3,0,100
AR Patel,M Shahrukh Khan,7,0,350
AR Patel,MM Sharma,5,0,125
AR Patel,Mohammed Siraj,10,0,125
AR Patel,Mohsin Khan,5,0,125
AR Patel,Mustafizur Rahman,3,0,75
AR Patel,N Thushara,8,0,266.67
AR Patel,Naveen-ul-Haq,2,0,100
AR Patel,Nithish Kumar Reddy,2,0,100
AR Patel,Noor Ahmad,20,1,250
AR Patel,PJ Cummins,2,0,100
AR Patel,R Ashwin,1,1,50
AR Patel,R Parag,9,0,180
AR Patel,R Shepherd,1,1,100
AR Patel,RD Chahar,1,0,100
AR Patel,Rashid Khan,26,0,152.94
AR Patel,S Sandeep Warrier,2,0,50
AR Patel,SP Narine,3,1,42.86
AR Patel,Sandeep Sharma,8,0,160
AR Patel,T Natarajan,0,1,0
AR Patel,TU Deshpande,1,0,100
AR Patel,VG Arora,8,0,266.67
AR Patel,WG Jacks,14,0,350
AR Patel,YS Chahal,4,0,133.33
AR Patel,Yash Dayal,0,1,0
AR Patel,Yudhvir Singh,7,0,175
AS Roy,Mustafizur Rahman,0,0,0
AS Roy,TU Deshpande,3,0,150
Abdul Samad,AD Russell,14,2,200
Abdul Samad,Arshdeep Singh,5,1,125
Abdul Samad,Avesh Khan,0,1,0
Abdul Samad,CV Varun,4,0,80
Abdul Samad,DG Nalkande,7,0,140
Abdul Samad,HH Pandya,2,0,100
Abdul Samad,HV Patel,21,0,233.33
Abdul Samad,Harpreet Brar,2,0,100
Abdul Samad,Harshit Rana,1,1,33.33
Abdul Samad,KK Ahmed,6,0,200
Abdul Samad,KV Sharma,2,1,66.67
Abdul Samad,LH Ferguson,8,0,266.67
Abdul Samad,M Pathirana,8,0,200
Abdul Samad,MA Starc,2,0,100
Abdul Samad,MM Sharma,9,0,180
Abdul Samad,Mukesh Kumar,7,1,140
Abdul Samad,PP Chawla,1,1,50
Abdul Samad,RA Jadeja,4,0,80
Abdul Samad,RD Chahar,8,0,160
Abdul Samad,RJW Topley,24,0,480
Abdul Samad,Rashid Khan,5,0,250
Abdul Samad,SN Thakur,7,1,77.78
Abdul Samad,SP Narine,13,1,185.71
Abdul Samad,Suyash Sharma,1,0,33.33
Abdul Samad,UT Yadav,8,0,400
Abdul Samad,Vijaykumar Vyshak,8,0,266.67
Abdul Samad,Yash Dayal,5,0,250
Abhishek Sharma,A Badoni,11,0,366.67
Abhishek Sharma,A Kamboj,7,0,175
Abhishek Sharma,AD Russell,4,1,200
Abhishek Sharma,Arshdeep Singh,20,0,181.82
Abhishek Sharma,Avesh Khan,0,1,0
Abhishek Sharma,Azmatullah Omarzai,6,0,150
Abhishek Sharma,CV Varun,17,0,340
Abhishek Sharma,DL Chahar,14,1,155.56
Abhishek Sharma,G Coetzee,12,0,240
Abhishek Sharma,HH Pandya,3,0,100
Abhishek Sharma,HV Patel,20,0,333.33
Abhishek Sharma,Harpreet Brar,13,0,325
Abhishek Sharma,Harshit Rana,5,0,100
Abhishek Sharma,JJ Bumrah,2,1,28.57
Abhishek Sharma,K Gowtham,2,0,66.67
Abhishek Sharma,KK Ahmed,4,0,400
Abhishek Sharma,KT Maphaka,20,0,333.33
Abhishek Sharma,Kuldeep Yadav,25,1,416.67
Abhishek Sharma,LH Ferguson,1,0,100
Abhishek Sharma,Lalit Yadav,17,0,340
Abhishek Sharma,MA Starc,7,1,77.78
Abhishek Sharma,MM Sharma,2,1,66.67
Abhishek Sharma,Mohammed Siraj,6,0,200
Abhishek Sharma,Mukesh Choudhary,20,0,333.33
Abhishek Sharma,N Thushara,2,0,40
Abhishek Sharma,Naveen-ul-Haq,6,0,150
Abhishek Sharma,Noor Ahmad,5,0,83.33
Abhishek Sharma,PP Chawla,28,1,350
Abhishek Sharma,R Ashwin,10,0,166.67
Abhishek Sharma,R Dhawan,16,0,228.57
Abhishek Sharma,RD Chahar,3,0,75
Abhishek Sharma,RJW Topley,7,1,233.33
Abhishek Sharma,Rashid Khan,16,0,228.57
Abhishek Sharma,Ravi Bishnoi,13,0,325
Abhishek Sharma,SM Curran,10,1,166.67
Abhishek Sharma,SP Narine,1,0,33.33
Abhishek Sharma,Shashank Singh,0,1,0
Abhishek Sharma,TA Boult,14,1,175
Abhishek Sharma,TU Deshpande,12,1,240
Abhishek Sharma,VG Arora,3,1,75
Abhishek Sharma,Vijaykumar Vyshak,9,0,225
Abhishek Sharma,WG Jacks,32,0,177.78
Abhishek Sharma,Yash Dayal,10,1,166.67
Abhishek Sharma,Yash Thakur,43,0,307.14
Abishek Porel,Akash Madhwal,12,0,171.43
Abishek Porel,Arshad Khan,19,0,271.43
Abishek Porel,Arshdeep Singh,1,0,100
Abishek Porel,Avesh Khan,12,0,300
Abishek Porel,B Kumar,6,0,100
Abishek Porel,DJ Hooda,2,0,66.67
Abishek Porel,G Coetzee,5,0,250
Abishek Porel,HH Pandya,15,0,300
Abishek Porel,HV Patel,31,1,344.44
Abishek Porel,Harshit Rana,15,1,187.5
Abishek Porel,JJ Bumrah,11,1,64.71
Abishek Porel,KH Pandya,5,0,166.67
Abishek Porel,L Wood,7,0,140
Abishek Porel,M Markande,2,0,100
Abishek Porel,M Pathirana,1,0,100
Abishek Porel,MA Starc,1,0,50
Abishek Porel,Mohammad Nabi,6,1,85.71
Abishek Porel,Mohammed Siraj,1,0,100
Abishek Porel,Mohsin Khan,8,0,266.67
Abishek Porel,Mustafizur Rahman,7,0,175
Abishek Porel,N Thushara,5,0,250
Abishek Porel,Naveen-ul-Haq,16,1,228.57
Abishek Porel,PJ Cummins,9,0,300
Abishek Porel,PP Chawla,6,0,85.71
Abishek Porel,R Ashwin,13,1,144.44
Abishek Porel,R Parag,7,0,100
Abishek Porel,R Shepherd,10,0,166.67
Abishek Porel,Ravi Bishnoi,8,0,80
Abishek Porel,S Sandeep Warrier,6,1,300
Abishek Porel,SH Johnson,9,0,180
Abishek Porel,SP Narine,1,0,50
Abishek Porel,Sandeep Sharma,18,1,163.64
Abishek Porel,Shahbaz Ahmed,19,0,380
Abishek Porel,Swapnil Singh,1,0,100
Abishek Porel,T Natarajan,6,0,100
Abishek Porel,TA Boult,6,0,200
Abishek Porel,VG Arora,1,1,12.5
Abishek Porel,YS Chahal,18,1,150
Abishek Porel,Yash Dayal,0,1,0
Akash Deep,Akash Madhwal,1,0,100
Akash Deep,JJ Bumrah,1,0,100
Akash Madhwal,Avesh Khan,3,0,100
Akash Madhwal,N Burger,1,0,50
Anmolpreet Singh,Avesh Khan,5,0,125
Anmolpreet Singh,Sandeep Sharma,0,1,0
Anmolpreet Singh,TU Deshpande,0,1,0
Anuj Rawat,AD Russell,3,0,150
Anuj Rawat,B Kumar,19,0,237.5
Anuj Rawat,DL Chahar,10,0,250
Anuj Rawat,HV Patel,1,0,100
Anuj Rawat,Harpreet Brar,4,0,57.14
Anuj Rawat,Harshit Rana,0,1,0
Anuj Rawat,K Rabada,6,0,150
Anuj Rawat,M Theekshana,2,0,100
Anuj Rawat,MP Stoinis,3,1,75
Anuj Rawat,MP Yadav,3,0,50
Anuj Rawat,Mustafizur Rahman,13,0,162.5
Anuj Rawat,Naveen-ul-Haq,1,0,25
Anuj Rawat,PJ Cummins,6,0,120
Anuj Rawat,RA Jadeja,5,0,125
Anuj Rawat,Ravi Bishnoi,2,0,66.67
Anuj Rawat,SM Curran,0,1,0
Anuj Rawat,T Natarajan,0,0,0
Anuj Rawat,TU Deshpande,18,0,257.14
Anuj Rawat,Yash Thakur,2,0,50
Arshad Khan,AR Patel,1,0,50
Arshad Khan,I Sharma,15,0,214.29
Arshad Khan,KK Ahmed,22,0,244.44
Arshad Khan,Kuldeep Yadav,18,0,150
Arshad Khan,Mukesh Kumar,6,1,66.67
Arshad Khan,N Thushara,0,1,0
Arshad Khan,Rasikh Salam,16,0,160
Arshad Khan (2),MA Starc,5,1,125
Arshdeep Singh,Mohammed Siraj,4,1,133.33
Ashutosh Sharma,Akash Madhwal,15,0,250
Ashutosh Sharma,Avesh Khan,32,0,246.15
Ashutosh Sharma,Azmatullah Omarzai,15,0,300
Ashutosh Sharma,B Kumar,1,0,100
Ashutosh Sharma,DG Nalkande,0,1,0
Ashutosh Sharma,G Coetzee,4,1,133.33
Ashutosh Sharma,HH Pandya,8,0,266.67
Ashutosh Sharma,JD Unadkat,17,0,340
Ashutosh Sharma,JJ Bumrah,9,0,180
Ashutosh Sharma,LH Ferguson,0,0,0
Ashutosh Sharma,MM Sharma,14,0,155.56
Ashutosh Sharma,Mohammed Siraj,8,1,200
Ashutosh Sharma,Nithish Kumar Reddy,1,0,50
Ashutosh Sharma,Noor Ahmad,2,0,66.67
Ashutosh Sharma,PJ Cummins,11,0,183.33
Ashutosh Sharma,R Sai Kishore,1,1,20
Ashutosh Sharma,R Shepherd,19,0,211.11
Ashutosh Sharma,RA Jadeja,2,1,40
Ashutosh Sharma,Rashid Khan,2,0,100
Ashutosh Sharma,Sandeep Sharma,2,0,66.67
Ashutosh Sharma,Simarjeet Singh,1,0,20
Ashutosh Sharma,T Natarajan,5,1,125
Ashutosh Sharma,TA Boult,5,1,100
Ashutosh Sharma,YS Chahal,9,1,180
Atharva Taide,Avesh Khan,0,1,0
Atharva Taide,B Kumar,10,0,142.86
Atharva Taide,KR Sen,12,0,240
Atharva Taide,PJ Cummins,8,0,114.29
Atharva Taide,Shahbaz Ahmed,12,0,240
Atharva Taide,T Natarajan,9,1,225
Atharva Taide,TA Boult,3,0,50
Atharva Taide,V Viyaskanth,7,0,175
Avesh Khan,HV Patel,3,0,150
Avesh Khan,Mukesh Kumar,7,0,233.33
Azmatullah Omarzai,AR Patel,0,1,0
Azmatullah Omarzai,DL Chahar,2,0,100
Azmatullah Omarzai,G Coetzee,1,1,50
Azmatullah Omarzai,HV Patel,2,1,100
Azmatullah Omarzai,Harpreet Brar,7,0,175
Azmatullah Omarzai,Kuldeep Yadav,1,0,100
Azmatullah Omarzai,LS Livingstone,3,0,100
Azmatullah Omarzai,M Pathirana,1,0,100
Azmatullah Omarzai,Naman Dhir,5,0,250
Azmatullah Omarzai,PP Chawla,10,0,250
Azmatullah Omarzai,RA Jadeja,3,0,75
Azmatullah Omarzai,SM Curran,1,0,100
Azmatullah Omarzai,SZ Mulani,1,0,33.33
Azmatullah Omarzai,TU Deshpande,5,1,166.67
B Kumar,Arshdeep Singh,3,0,150
B Kumar,C Green,9,1,112.5
B Kumar,CV Varun,0,1,0
B Kumar,Harshit Rana,0,0,0
B Kumar,K Rabada,0,0,0
B Kumar,KV Sharma,4,0,80
B Kumar,Mustafizur Rahman,1,0,100
B Kumar,SM Curran,3,1,100
B Kumar,SP Narine,0,0,0
B Kumar,TU Deshpande,3,0,150
B Sai Sudharsan,A Nortje,16,0,200
B Sai Sudharsan,AR Patel,22,0,244.44
B Sai Sudharsan,Arshdeep Singh,4,0,200
B Sai Sudharsan,Avesh Khan,11,0,183.33
B Sai Sudharsan,B Kumar,9,0,112.5
B Sai Sudharsan,C Green,17,1,170
B Sai Sudharsan,DJ Mitchell,27,0,192.86
B Sai Sudharsan,DL Chahar,5,0,83.33
B Sai Sudharsan,G Coetzee,10,0,100
B Sai Sudharsan,GJ Maxwell,10,0,166.67
B Sai Sudharsan,HH Pandya,8,0,200
B Sai Sudharsan,HV Patel,2,1,40
B Sai Sudharsan,Harpreet Brar,14,0,140
B Sai Sudharsan,I Sharma,0,1,0
B Sai Sudharsan,JD Unadkat,6,0,150
B Sai Sudharsan,JJ Bumrah,1,1,20
B Sai Sudharsan,K Rabada,9,0,112.5
B Sai Sudharsan,KA Maharaj,1,0,50
B Sai Sudharsan,KH Pandya,1,1,25
B Sai Sudharsan,KK Ahmed,10,0,200
B Sai Sudharsan,KR Sen,0,1,0
B Sai Sudharsan,KV Sharma,20,0,250
B Sai Sudharsan,Kuldeep Yadav,15,0,136.36
B Sai Sudharsan,LS Livingstone,8,0,72.73
B Sai Sudharsan,M Markande,10,0,125
B Sai Sudharsan,M Pathirana,4,1,66.67
B Sai Sudharsan,M Siddharth,4,0,66.67
B Sai Sudharsan,MJ Santner,15,0,300
B Sai Sudharsan,MP Yadav,9,0,180
B Sai Sudharsan,Mohammed Siraj,16,0,123.08
B Sai Sudharsan,Mukesh Kumar,8,0,160
B Sai Sudharsan,Mustafizur Rahman,6,0,200
B Sai Sudharsan,Naman Dhir,8,0,200
B Sai Sudharsan,Naveen-ul-Haq,10,0,333.33
B Sai Sudharsan,PJ Cummins,9,1,112.5
B Sai Sudharsan,PP Chawla,14,0,140
B Sai Sudharsan,R Ashwin,6,0,100
B Sai Sudharsan,RA Jadeja,31,0,238.46
B Sai Sudharsan,Rasikh Salam,6,1,85.71
B Sai Sudharsan,Ravi Bishnoi,1,0,100
B Sai Sudharsan,SM Curran,12,1,120
B Sai Sudharsan,SN Thakur,11,0,100
B Sai Sudharsan,SZ Mulani,4,0,66.67
B Sai Sudharsan,Shahbaz Ahmed,2,0,100
B Sai Sudharsan,Sikandar Raza,15,0,214.29
B Sai Sudharsan,Simarjeet Singh,24,0,300
B Sai Sudharsan,Swapnil Singh,11,0,183.33
B Sai Sudharsan,TA Boult,6,0,66.67
B Sai Sudharsan,TU Deshpande,17,1,106.25
B Sai Sudharsan,Washington Sundar,9,0,150
B Sai Sudharsan,YS Chahal,11,0,220
B Sai Sudharsan,Yash Dayal,15,0,78.95
B Sai Sudharsan,Yash Thakur,2,0,100
BR Sharath,KH Pandya,1,1,50
BR Sharath,Ravi Bishnoi,1,0,33.33
C Green,AD Russell,7,1,140
C Green,AR Patel,2,0,66.67
C Green,AS Roy,3,0,37.5
C Green,Avesh Khan,7,0,175
C Green,DL Chahar,0,0,0
C Green,HV Patel,20,1,200
C Green,Harshit Rana,4,0,200
C Green,I Sharma,2,0,100
C Green,J Little,1,1,50
C Green,JD Unadkat,11,0,157.14
C Green,K Rabada,3,1,60
C Green,KK Ahmed,5,0,166.67
C Green,Kuldeep Yadav,17,0,212.5
C Green,LS Livingstone,7,0,87.5
C Green,M Theekshana,11,0,100
C Green,MA Starc,4,0,400
C Green,MP Yadav,5,1,100
C Green,Mukesh Kumar,3,2,75
C Green,Mustafizur Rahman,1,1,50
C Green,N Burger,1,0,33.33
C Green,PJ Cummins,19,0,271.43
C Green,R Ashwin,7,1,77.78
C Green,RA Jadeja,11,0,100
C Green,RD Chahar,13,0,216.67
C Green,Rasikh Salam,3,0,75
C Green,Ravi Bishnoi,4,0,100
C Green,SM Curran,6,0,200
C Green,SN Thakur,25,0,357.14
C Green,SP Narine,21,1,233.33
C Green,Sandeep Sharma,1,0,100
C Green,Shahbaz Ahmed,2,0,100
C Green,Simarjeet Singh,6,0,200
C Green,T Natarajan,5,0,125
C Green,TA Boult,0,0,0
C Green,TU Deshpande,2,0,100
C Green,YS Chahal,16,0,200
D Brevis,Arshad Khan,2,0,40
D Brevis,Azmatullah Omarzai,5,0,125
D Brevis,KH Pandya,7,0,140
D Brevis,MJ Henry,0,0,0
D Brevis,MM Sharma,11,1,137.5
D Brevis,Naveen-ul-Haq,11,1,183.33
D Brevis,R Sai Kishore,13,0,92.86
D Brevis,Rashid Khan,9,0,100
D Brevis,Ravi Bishnoi,3,0,100
D Brevis,SH Johnson,8,0,266.67
D Brevis,TA Boult,0,1,0
D Ferreira,HV Patel,2,1,100
D Ferreira,KK Ahmed,1,0,50
D Ferreira,Kuldeep Yadav,0,1,0
D Ferreira,NT Ellis,4,0,133.33
D Ferreira,RD Chahar,1,0,33.33
D Padikkal,Arshdeep Singh,0,0,0
D Padikkal,GJ Maxwell,3,0,50
D Padikkal,I Sharma,3,0,100
D Padikkal,K Rabada,9,0,225
D Padikkal,KK Ahmed,0,1,0
D Padikkal,M Pathirana,1,1,33.33
D Padikkal,MM Ali,7,0,116.67
D Padikkal,Mohammed Siraj,1,1,50
D Padikkal,Mustafizur Rahman,0,0,0
D Padikkal,N Thushara,0,1,0
D Padikkal,RA Jadeja,2,0,40
D Padikkal,RJW Topley,2,0,66.67
D Padikkal,SH Johnson,3,0,100
D Padikkal,SM Curran,0,1,0
D Padikkal,SN Thakur,2,0,100
D Padikkal,TA Boult,0,1,0
D Padikkal,UT Yadav,4,1,100
DA Miller,A Nortje,24,0,400
DA Miller,AR Patel,2,0,100
DA Miller,B Kumar,3,0,75
DA Miller,C Green,16,0,133.33
DA Miller,DJ Mitchell,7,0,140
DA Miller,G Coetzee,9,0,150
DA Miller,GJ Maxwell,2,0,100
DA Miller,HH Pandya,2,0,100
DA Miller,I Sharma,2,1,40
DA Miller,JD Unadkat,7,0,233.33
DA Miller,JJ Bumrah,1,1,33.33
DA Miller,K Rabada,1,0,100
DA Miller,KV Sharma,13,1,260
DA Miller,Kuldeep Yadav,8,0,160
DA Miller,LS Livingstone,3,1,60
DA Miller,M Markande,17,0,283.33
DA Miller,M Pathirana,5,0,125
DA Miller,Mohammed Siraj,7,0,100
DA Miller,Mukesh Kumar,14,1,200
DA Miller,Mustafizur Rahman,7,0,233.33
DA Miller,PJ Cummins,13,0,118.18
DA Miller,Rasikh Salam,7,0,175
DA Miller,SN Thakur,5,0,125
DA Miller,Simarjeet Singh,9,1,180
DA Miller,TU Deshpande,4,1,66.67
DA Miller,Vijaykumar Vyshak,1,0,100
DA Miller,Washington Sundar,4,0,133.33
DA Miller,Yash Dayal,17,0,141.67
DA Warner,Akash Madhwal,4,0,66.67
DA Warner,Arshad Khan,6,0,120
DA Warner,Arshdeep Singh,10,0,166.67
DA Warner,Avesh Khan,13,1,185.71
DA Warner,B Kumar,1,1,33.33
DA Warner,DL Chahar,29,0,223.08
DA Warner,HV Patel,5,1,100
DA Warner,Harpreet Brar,1,0,50
DA Warner,K Rabada,10,0,200
DA Warner,M Pathirana,1,0,33.33
DA Warner,MA Starc,8,1,100
DA Warner,Mustafizur Rahman,6,1,120
DA Warner,N Burger,11,0,275
DA Warner,Naveen-ul-Haq,0,0,0
DA Warner,R Ashwin,3,0,60
DA Warner,R Shepherd,6,1,300
DA Warner,RA Jadeja,15,0,187.5
DA Warner,RD Chahar,2,0,100
DA Warner,SM Curran,1,0,100
DA Warner,Sandeep Sharma,2,0,50
DA Warner,Swapnil Singh,1,1,50
DA Warner,TA Boult,19,0,158.33
DA Warner,TU Deshpande,1,0,16.67
DA Warner,VG Arora,10,0,200
DA Warner,YS Chahal,1,0,50
DA Warner,Yash Thakur,2,1,66.67
DG Nalkande,KH Pandya,2,1,40
DG Nalkande,M Siddharth,8,0,200
DG Nalkande,Ravi Bishnoi,2,0,100
DJ Hooda,AR Patel,4,0,80
DJ Hooda,Avesh Khan,12,0,171.43
DJ Hooda,CV Varun,0,1,0
DJ Hooda,G Coetzee,5,0,166.67
DJ Hooda,HH Pandya,8,1,100
DJ Hooda,Harshit Rana,5,0,250
DJ Hooda,I Sharma,2,2,40
DJ Hooda,JJ Bumrah,1,0,50
DJ Hooda,Kuldeep Yadav,4,0,80
DJ Hooda,M Pathirana,11,0,220
DJ Hooda,MA Starc,2,1,40
DJ Hooda,Mustafizur Rahman,6,0,600
DJ Hooda,N Burger,11,0,275
DJ Hooda,N Wadhera,8,0,160
DJ Hooda,PP Chawla,7,1,77.78
DJ Hooda,R Ashwin,10,1,111.11
DJ Hooda,Sandeep Sharma,5,0,250
DJ Hooda,TA Boult,21,0,210
